2026-01-14 17:05:47,894 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:05:50,286 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:08:52,560 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:08:54,857 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:10:32,368 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:10:34,268 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:28:20,901 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:28:21,004 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:31:47,474 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:31:47,571 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:31:56,253 - INFO - Phone migrated to 4
2026-01-14 17:31:56,374 - INFO - Reconnecting to new data center 4
2026-01-14 17:31:56,512 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-14 17:31:56,513 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-14 17:31:56,514 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-14 17:31:58,433 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-14 17:32:54,904 - INFO - Scraping channel: Lobelia_pharmacy_and_cosmetics
2026-01-14 17:34:47,479 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:47,746 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:48,221 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:48,570 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:48,892 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:49,059 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:49,555 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:49,723 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:50,509 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:50,861 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:51,367 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:51,882 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:52,033 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:52,218 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:34:52,614 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
